Five-Year Age Groups Code	Race Code	Hispanic Origin Code	State Code	Gender	UCD - ICD-10 113 Cause List	UCD - ICD-10 113 Cause List Code	Deaths	Population
25-29	2054-5	2186-2	36	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	14	122512
25-29	2054-5	2186-2	37	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	18	83831
25-29	2054-5	2186-2	42	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	21	59121
25-29	2054-5	2186-2	45	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	51586
25-29	2054-5	2186-2	47	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	46044
25-29	2054-5	2186-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	134199
25-29	2054-5	2186-2	51	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	16	63310
25-29	2106-3	2135-2	4	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	70563
25-29	2106-3	2135-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	51	538547
25-29	2106-3	2135-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	16	162584
25-29	2106-3	2135-2	35	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	32109
25-29	2106-3	2135-2	36	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	113740
25-29	2106-3	2135-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	54	375102
25-29	2106-3	2186-2	1	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	31	101939
25-29	2106-3	2186-2	4	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	39	111614
25-29	2106-3	2186-2	5	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	20	69068
25-29	2106-3	2186-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	83	508562
25-29	2106-3	2186-2	8	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	31	133852
25-29	2106-3	2186-2	9	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	21	63535
25-29	2106-3	2186-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	109	323771
25-29	2106-3	2186-2	13	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	59	177842
25-29	2106-3	2186-2	17	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	54	255383
25-29	2106-3	2186-2	18	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	62	166147
25-29	2106-3	2186-2	19	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	78066
25-29	2106-3	2186-2	20	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	19	67485
25-29	2106-3	2186-2	21	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	51	120674
25-29	2106-3	2186-2	22	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	31	97268
25-29	2106-3	2186-2	23	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	36688
25-29	2106-3	2186-2	24	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	16	101652
25-29	2106-3	2186-2	25	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	49	165462
25-29	2106-3	2186-2	26	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	61	224056
25-29	2106-3	2186-2	27	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	19	134359
25-29	2106-3	2186-2	28	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	19	53174
25-29	2106-3	2186-2	29	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	57	156418
25-29	2106-3	2186-2	32	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	18	48599
25-29	2106-3	2186-2	33	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	34164
25-29	2106-3	2186-2	34	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	40	137237
25-29	2106-3	2186-2	36	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	82	383589
25-29	2106-3	2186-2	37	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	68	205241
25-29	2106-3	2186-2	39	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	139	291472
25-29	2106-3	2186-2	40	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	25	88691
25-29	2106-3	2186-2	41	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	26	102161
25-29	2106-3	2186-2	42	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	106	307618
25-29	2106-3	2186-2	45	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	39	102506
25-29	2106-3	2186-2	47	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	67	160377
25-29	2106-3	2186-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	98	397749
25-29	2106-3	2186-2	49	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	25	83473
25-29	2106-3	2186-2	51	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	36	175664
25-29	2106-3	2186-2	53	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	34	172922
25-29	2106-3	2186-2	54	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	24	49922
25-29	2106-3	2186-2	55	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	32	132258
30-34	1002-5	2186-2	4	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	15	10243
30-34	A-PI	2186-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	247851
30-34	2054-5	2186-2	1	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	47819
30-34	2054-5	2186-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	82297
30-34	2054-5	2186-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	121212
30-34	2054-5	2186-2	13	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	20	121731
30-34	2054-5	2186-2	17	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	64887
30-34	2054-5	2186-2	22	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	57191
30-34	2054-5	2186-2	28	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	14	41167
30-34	2054-5	2186-2	34	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	41124
30-34	2054-5	2186-2	37	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	75375
30-34	2054-5	2186-2	39	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	17	50789
30-34	2054-5	2186-2	47	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	40925
30-34	2054-5	2186-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	20	128101
30-34	2054-5	2186-2	51	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	58849
30-34	2106-3	2135-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	55	510979
30-34	2106-3	2135-2	8	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	39380
30-34	2106-3	2135-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	17	168391
30-34	2106-3	2135-2	35	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	18	32254
30-34	2106-3	2135-2	36	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	16	109500
30-34	2106-3	2135-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	60	373038
30-34	2106-3	2186-2	1	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	43	96592
30-34	2106-3	2186-2	4	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	39	110333
30-34	2106-3	2186-2	5	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	67564
30-34	2106-3	2186-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	105	485234
30-34	2106-3	2186-2	8	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	42	133701
30-34	2106-3	2186-2	9	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	20	66488
30-34	2106-3	2186-2	10	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	17419
30-34	2106-3	2186-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	150	299753
30-34	2106-3	2186-2	13	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	71	171781
30-34	2106-3	2186-2	17	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	65	260288
30-34	2106-3	2186-2	18	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	57	163478
30-34	2106-3	2186-2	19	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	14	83721
30-34	2106-3	2186-2	20	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	72690
30-34	2106-3	2186-2	21	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	80	118880
30-34	2106-3	2186-2	22	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	56	95209
30-34	2106-3	2186-2	23	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	35735
30-34	2106-3	2186-2	24	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	99545
30-34	2106-3	2186-2	25	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	65	156633
30-34	2106-3	2186-2	26	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	90	218395
30-34	2106-3	2186-2	27	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	26	148129
30-34	2106-3	2186-2	28	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	51483
30-34	2106-3	2186-2	29	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	61	157554
30-34	2106-3	2186-2	30	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	27796
30-34	2106-3	2186-2	32	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	23	47502
30-34	2106-3	2186-2	33	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	15	33868
30-34	2106-3	2186-2	34	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	32	138439
30-34	2106-3	2186-2	36	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	78	358019
30-34	2106-3	2186-2	37	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	72	195402
30-34	2106-3	2186-2	39	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	143	282445
